id,short_description,year
evt_CRDDR,Colorado River Delta declared fishing reserve.,1974
evt_GTFP,Gillnets for totoaba fishing prohibited.,1975
evt_IUCNTE,IUCN lists totoaba as endangered species.,1979
evt_GCDF,"Glen Canyon Dam filled, reducing river flow.",1979
evt_TSFI,Trawl shrimp fleet in AGC increases due to National Fisheries Development Plan.,1980
evt_GCIFPS,Gulf of California islands granted federal protected status.,1978
evt_SFTFB,Secretariat of Fisheries issues total experimental fishing ban.,1971
evt_FGBIC,Franchises granted during fishing ban to control illegal capture.,1975
evt_CTEVDNPA,Campamento Tortuguero El Verde declared Natural Protected Area.,1977
evt_CRIPBRTC,Research and rehabilitation tanks constructed at CRIP-Bahía de Los Ángeles.,1980
evt_IUCNLVQ,IUCN listed the vaquita as vulnerable on the Red List of Threatened Species.,1986
evt_IHHNVMX,Infectious Hypodermal and Hematopoietic Necrosis Virus (IHHNV) first introduced to Mexico.,1987
evt_SKBRWHS,Sian Ka’an Biosphere Reserve declared World Heritage Site.,1987
evt_FMRFSD,Restructuring of federal ministries leads to decline of fishing sector.,1988
evt_CRDFR,River flow restrictions to the Colorado River delta begin.,1989
evt_SCSFLII,All shrimp farms and laboratories on Sonora coast infected with IHHNV.,1990
evt_LSCAFD,"Lowest shrimp capture in AGC fishery recorded, coinciding with primary organic productivity decrease.",1990
evt_OWBCSS,"Number of overexploited wells in Baja California Sur increases to over 580, with 78% saline.",1990
evt_CPNPEBUI,Cabo Pulmo National Park emerges from bottom-up initiative.,1990
evt_MTBSMXW,Federal executive declares total ban on all marine turtle species in Mexican waters.,1990
evt_PRPCFC,Public resources used to build infrastructure for Pacific coast fishing cooperatives.,1990
evt_FGFMCE,First generation of funders begin marine conservation efforts.,1990
evt_GNTotoabaProhib,Gillnets for totoaba fishing prohibited area established.,1992
evt_UNFCCCFormed,UN Framework Convention on Climate Change (UNFCCC) established.,1992
evt_UNCEDRio,UN Conference on Environment and Development (Rio) held.,1992
evt_VaqStatusChange,IUCN changes vaquita status from vulnerable to endangered.,1993
evt_AGCBioResDecreed,Alto Golfo & Colorado River Delta Biosphere Reserve decreed.,1993
evt_VaqProtectedList,Vaquita included on Mexico's national protected species list (NOM-059-ECOL-1994).,1994
evt_FMCNCreated,Mexican Fund for the Conservation of Nature (FMCN) created.,1994
evt_AGCBioResMngProg,Management Program for Alto Golfo Biosphere Reserve implemented.,1995
evt_CaboPulmoPark,Cabo Pulmo National Park (CPNP) created.,1995
evt_GSCOperations,Field station operations begin in Golfo de Santa Clara.,1996
