niche_name,id,systems
"The Marine Ecological Spatial Planning Program for the Gulf of California (new, overarching approach and framework for managing the Gulf's resources)",niche_MESPPGC,"['Environmental Conservation', 'Fishing', 'Tourism', 'Aquaculture', 'Governance']"
The multi-sectoral Committee for Marine Ecological Planning (alternative form of organization and governance approach),niche_MCMEP,"['Governance', 'Fishing', 'Tourism', 'Aquaculture', 'Environmental Conservation', 'Academia', 'Indigenous Groups']"
"The systematic technical studies (new, evidence-based approach to understanding and planning for the region's environmental and socio-economic dynamics)",niche_STS_CDPP,"['Environmental Management', 'Social', 'Economic', 'Governance']"
The Environmental Management Units (UGAs) and localized problem verification workshops (localized alternative practices for environmental governance and conflict resolution),niche_EMU_UGAS_LVW,"['Environmental Management', 'Productive Sectors']"
The Environmental Logbook (alternative practice and form of organization for public transparency and accountability),niche_ELBA,"['Governance', 'Public', 'Various Sectors']"
Sustainable Ocean Economy (macro-level alternative approach and a new set of rules for managing ocean resources),niche_SOE,"['Ocean Economy', 'Fishing', 'Tourism', 'Aquaculture', 'Environmental Conservation', 'Shipping', 'Governance']"
Sistemas de Pesca Alternativos (alternative practices and approaches being developed and explored within a protected space),niche_SPA,['Fishing']
Science-Based Sustainable Fisheries Management and Resource Assessment (radical alternative approach to traditional fisheries management focused on scientific and technological assessment),niche_SBSFMRA,"['Food', 'Science & Technology', 'Policy & Governance']"
Ecosystem-Based Fisheries Management (EBFM) Approach (significant alternative approach and rule-set for fisheries governance),niche_EBFMA,['Fisheries Management']
Selective and Low-Impact Trawling Technology (technological innovations and alternative practices to make shrimp trawling more selective and efficient),niche_SLITT,['Fishing Technology']
"Bycatch Utilization for Food Security (alternative approach to the traditional discarding of bycatch, aiming for its integral utilization)",niche_BUFFS,"['Food', 'Fisheries Management', 'Social Welfare', 'Economic']"
Community-Based Fisheries Management / No-Fishing Zones (alternative form of organization and approach to managing fisheries by directly involving local fishermen),niche_CBFMNFZ,"['Fisheries Management', 'Community Governance', 'Social Organization']"
Bioregional Funds (Catalytic Fund) (alternative financial instrument and organizational approach aimed at accelerating transformative changes across multiple socio-technical systems),niche_BF_CF,"['Oceans', 'Aquaculture', 'Regenerative Agriculture', 'Regenerative Livestock', 'Tourism', 'Education', 'Philanthropy', 'Investment']"
Ocean Health Platform (new organizational model and collaborative space for actors dedicated to ocean health),niche_OHP,['Oceans']
Regenerative Women Entrepreneurs (alternative form of organization and actor group that applies a 'regenerative' ethos to entrepreneurial activities),niche_RWE,"['Entrepreneurship', 'Food', 'Tourism', 'Local Economies']"
Biodiversity Conservation (as a guiding approach) (deliberate focus and guiding principle for action that promotes alternative rules for how various systems interact with natural capital),niche_BC_GA,"['Land Use', 'Resource Management', 'Environmental Conservation']"
Ocean Health Index (Tropicalized for Gulf Bioregion) (innovation in scientific measurement and assessment for a specific environmental system),niche_OHITGB,"['Oceans', 'Scientific Measurement', 'Assessment']"
"Pronatura's Field Programs, Experiments, and Pilots (in regeneration and community programs) (concrete, on-the-ground alternative practices and experimental initiatives that foster regeneration and build capacity within local communities)",niche_PFPEP,"['Community Development', 'Socio-economic Activities']"
Philanthropic Fund (alternative financial instrument mobilizes philanthropic capital and grants to support initiatives that may not fit traditional market-based investments),niche_PF,"['Finance', 'Regenerative Initiatives', 'Community Development']"
"Alumbra's totoaba breeding farms (alternative, controlled practice for totoaba breeding)",niche_ATBF,"['Food', 'Fishing']"
Fishing practices incorporating permits and indigenous knowledge (alternative practice of resource management that integrates traditional knowledge with formal regulations),niche_FPIIK,"['Food', 'Fishing']"
