id,regime_rule
regime_CRWMS_PrioritizeUpstreamStorage,Prioritize upstream water storage and regulated allocation in the Colorado River system.
regime_CRWMS_UtilizeLargeScaleInfra,Utilize large-scale infrastructure (dams) for Colorado River water control and management.
regime_SFR_ShrimpExtractionEco,Engage in the extraction of shrimp for economic purposes in the Upper Gulf.
regime_SFR_LivelihoodDependence,Depend on the shrimp fishery resource for livelihoods and economic activity in local communities.
regime_SFR_MaintainTraditionalPractices,Maintain traditional practices and ways of life associated with the shrimp fishery.
regime_MFR_ResourceStatusDiagnosis,Manage Mexican fisheries based on the diagnosis of resource status provided by institutions like INAPESCA.
regime_MFR_NationalFishingCharter,Implement regulations and norms established in the National Fishing Charter for Mexican fisheries.
regime_MFR_MultidimensionalCriteria,"Evaluate the state of Mexican fisheries resources using specific, multidimensional assessment criteria (biological, fishing, social, economic, management)."
regime_MFR_ExploitationLevelClassification,"Classify the status of Mexican fisheries based on predefined categories related to exploitation levels (e.g., sustainable, overexploited)."
regime_MFR_HistoricalDataAssessment,Conduct scientific assessments for Mexican fisheries primarily by analyzing historical catch and fishing effort data.
regime_MFR_SpecializedScientificBodies,"Involve specialized scientific bodies and experts (e.g., INAPESCA) in Mexican fisheries research and validation."
regime_MFR_ArtisanalIndustrialDichotomy,Operate within the established dichotomy of artisanal and industrial fishing sectors in Mexican fisheries.
regime_MFR_CommercialExploitationFocus,Focus Mexican fishing efforts on the commercial exploitation of marine resources.
regime_PSF_BottomTrawling,Utilise bottom trawling as the primary fishing technology for peneid shrimps.
regime_PSF_CPUEBiomassModels,Employ CPUE and biomass dynamic models for peneid shrimp fishery analysis and assessment.
regime_PSF_StatisticalDataAnalysis,Apply statistical methods for data analysis within the peneid shrimp fishery assessment process.
regime_PSF_CommercialPeneidTargeting,Conduct commercial fishing operations targeting profitable peneid shrimps as a significant fishery.
regime_PSF_CPUEBusinessAssessment,Use fishery data and analysis (like CPUE) to inform operational/strategic assessments of the peneid shrimp fishing business.
regime_PSF_ManagementFrameworks,Establish and propose fisheries management frameworks and regulations for the peneid shrimp fishery.
regime_PSF_CatchQuotaConsideration,"Consider implementing specific regulations, such as catch quotas for blue shrimp, to manage the peneid shrimp fishery."
regime_PSF_PeneidSupplyToMarkets,"Supply peneid shrimps (e.g., blue shrimp) to markets based on existing consumer demand and preferences."
regime_IF_LargeScaleTechPrioritization,Prioritize the development and application of technologies for large-scale exploitation of specific marine species in Industrial Fishing.
regime_IF_MaximizeVolumeProfit,Base Industrial Fishing business models on maximizing volume and profit from targeted marine resources.
regime_IF_PermitPressureOperations,Permit industrial fishing operations that lead to competition and environmental pressure on shared marine resources.
regime_IF_MaintainIndustrialDemand,"Maintain demand for specific marine products, driving industrial-scale extraction."
regime_IF_PrioritizeEconomicProdNoSustainability,"Prioritize economic production from marine resources, often without fully integrating long-term environmental sustainability in Industrial Fishing."
regime_CF_UtilizeLocalKnowledge,Utilize knowledge of coastal ecosystems and local fishing grounds to target a variety of species in Coastal Fishing.
regime_CF_LocalResourceEconomicActivity,"Operate Coastal Fishing based on economic activities tied to local coastal resources, contributing to localized pressures."
regime_CF_AllowLocalizedPressurePractices,Allow coastal fishing practices that may lead to localized conflicts and environmental pressures.
regime_CF_LocalSeafoodDemand,Local and regional demand for diverse coastal seafood supports Coastal Fishing practices.
regime_CF_PerpetuateCoastalExtractionPractices,Perpetuate established communal or individual practices of resource extraction in coastal areas.
regime_TOUR_EnhanceMarineAttractions,Develop and apply knowledge to identify/enhance natural marine attractions and build supporting infrastructure for tourism.
regime_TOUR_GenerateRevenueMarineAmenities,Generate revenue through provision of services and infrastructure capitalizing on marine/coastal amenities for tourism.
regime_TOUR_FacilitateExpansionEnvPressure,"Facilitate the expansion of tourism infrastructure and activities, contributing to environmental pressures and potential conflicts."
regime_TOUR_RecreationalDemandDrivenGrowth,Demand for recreational and leisure activities in marine environments drives tourism industry growth.
regime_TOUR_CultureEconomicDevVsEcology,"Foster a culture that values economic development through tourism, sometimes at the expense of ecological integrity."
regime_AQUA_ControlledCultivationMethods,Apply controlled biological and engineering methods for the cultivation of aquatic organisms in aquaculture.
regime_AQUA_CommercialProductionVentures,Develop commercial ventures for the controlled production and sale of aquatic species in aquaculture.
regime_AQUA_RegulateOperationExpansion,"Regulate aquaculture to permit its operation and expansion, potentially leading to environmental impacts."
regime_AQUA_MarketDemandDrivenGrowth,Market demand for farmed aquatic products drives aquaculture sector growth and practices.
regime_AQUA_CultureControlledFoodProduction,Promote the belief in controlled food production from aquatic environments as a viable and desirable means to satisfy societal needs.
regime_FF_MaximizeCatchEfficiencySciTech,Focus on research and development to maximize catch volume and fishing efficiency in the Fishing/Fisheries sector.
regime_FF_PrioritizeEconomicReturns,Prioritize economic returns and market share through high-volume extraction and sale of marine resources in the Fishing/Fisheries sector.
regime_FF_PromoteProductionOverEcologyPolicy,"Enact policies and regulations that primarily support fishing production and economic growth, with less emphasis on integrated ecological planning."
regime_FF_ExpectAbundantProductsNoEcologicalLimit,"Operate with an expectation of readily available and abundant marine products driven by consumer demand, without strong mechanisms to influence consumption based on ecological limits."
