from,to,relationship_type
evt_CRDR,1974,happened_in
evt_GTFP,1975,happened_in
evt_IUCNS,1979,happened_in
evt_GCDRF,1979,happened_in
evt_TSFIE,1980,happened_in
evt_GCIP,1978,happened_in
evt_SFBTF,1971,happened_in
evt_FGBIC,1975,happened_in
evt_CTEVPA,1977,happened_in
evt_RRTCBA,1980,happened_in
evt_IUCNVaquitaVuln,1986,happened_in
evt_IHHNVMexicoIntro,1987,happened_in
evt_ColoradoRiverFlowRestr,1989,happened_in
evt_SonoraShrimpIHHNVLowCatch,1990,happened_in
evt_SianKaanWHS,1987,happened_in
evt_BCSWellsOverexploitedSal,1990,happened_in
evt_CaboPulmoCPNP,1990,happened_in
evt_FederalMinistryRestruct,1988,happened_in
evt_MarineTurtleBan,1990,happened_in
evt_FishingCoopInfra,1990,happened_in
evt_FirstFundersMarineConserv,1990,happened_in
evt_GTPFA,1992,happened_in
evt_UNCED,1992,happened_in
evt_IVSE,1993,happened_in
evt_UGCADBRC,1993,happened_in
evt_MGVLSPS,1994,happened_in
evt_FMCNC,1994,happened_in
evt_AGRMP,1995,happened_in
evt_CPNPC,1995,happened_in
evt_GSCSFO,1996,happened_in
evt_NCNPAC,1996,happened_in
evt_NOMTED,1996,happened_in
evt_KPS,1997,happened_in
evt_FANPE,1997,happened_in
evt_ENISC,1998,happened_in
evt_USMCEBC,1999,happened_in
evt_MFDMC,1999,happened_in
evt_FAOWSBS,2000,happened_in
evt_CONANPE,2000,happened_in
evt_SFNMU,2000,happened_in
evt_VPDESG,2000,happened_in
evt_SEMAZE,2000,happened_in
evt_CISMPSC,2000,happened_in
evt_LCMPMP,2000,happened_in
evt_MSPSS,2000,happened_in
evt_DBBCLP,2000,happened_in
evt_BCTP,2000,happened_in
evt_FAO_ReykDec,2001,happened_in
evt_BCS_OasesUrb,2001,happened_in
evt_BCS_SmallOasesDisap,2001,happened_in
evt_WSSD_EBFM,2002,happened_in
evt_NRC_FishEcosysWkshp,2002,happened_in
evt_CTDMO_EnvSciProg,2002,happened_in
evt_EscNaut_Start,2003,happened_in
evt_AlCosta_Formed,2003,happened_in
evt_SEMARNAT_OasisProg,2003,happened_in
